"","reclat","reclong","lat_lng"
"2360",-76.6878,159.3606,"-76.6878,159.3606"
"2361",-76.6878,159.3603,"-76.6878,159.3603"
"2362",-76.6794,159.3428,"-76.6794,159.3428"
"2363",-76.6836,159.3389,"-76.6836,159.3389"
"2364",-76.6978,159.3975,"-76.6978,159.3975"
"2365",-76.7033,159.3686,"-76.7033,159.3686"
"2366",-76.7047,159.3633,"-76.7047,159.3633"
"2367",-76.6914,159.3878,"-76.6914,159.3878"
"2368",-76.6922,159.3905,"-76.6922,159.3905"
"2369",-76.6931,159.3922,"-76.6931,159.3922"
"2370",-76.6928,159.3922,"-76.6928,159.3922"
"2371",-76.6931,159.3919,"-76.6931,159.3919"
"2372",-76.6928,159.3917,"-76.6928,159.3917"
"2373",-76.715,158.7854,"-76.715,158.7854"
"2374",-76.7119,158.7833,"-76.7119,158.7833"
"2375",-76.6634,159.3309,"-76.6634,159.3309"
"2376",-76.7675,159.3222,"-76.7675,159.3222"
"2377",-76.7147,158.7447,"-76.7147,158.7447"
"2378",-76.7317,158.8072,"-76.7317,158.8072"
"2379",-76.7514,159.3336,"-76.7514,159.3336"
"2380",-76.6986,159.3958,"-76.6986,159.3958"
"2381",-76.8249,158.2081,"-76.8249,158.2081"
"2382",-76.716,158.7468,"-76.716,158.7468"
"2383",-76.6812,159.2609,"-76.6812,159.2609"
"2384",-76.7167,158.7306,"-76.7167,158.7306"
"2385",-76.7742,159.2831,"-76.7742,159.2831"
"2386",-76.7003,159.3425,"-76.7003,159.3425"
"2387",-76.6844,159.34,"-76.6844,159.34"
"2388",-76.6844,159.3572,"-76.6844,159.3572"
"2389",-76.8247,158.2114,"-76.8247,158.2114"
"2390",-76.6812,159.2653,"-76.6812,159.2653"
"2391",-76.7114,158.7783,"-76.7114,158.7783"
"2392",-76.6889,159.2528,"-76.6889,159.2528"
"2393",-76.6745,159.2611,"-76.6745,159.2611"
"2394",-76.6889,159.3639,"-76.6889,159.3639"
"2395",-76.6992,159.3964,"-76.6992,159.3964"
"2396",-76.6634,159.3189,"-76.6634,159.3189"
"2397",-76.7173,158.7138,"-76.7173,158.7138"
"2398",-76.7039,159.3597,"-76.7039,159.3597"
"2399",-76.7031,159.3997,"-76.7031,159.3997"
"2400",-76.7014,159.4033,"-76.7014,159.4033"
"2401",-76.713,158.7978,"-76.713,158.7978"
"2402",-76.7019,159.3672,"-76.7019,159.3672"
"2403",-76.6875,159.358,"-76.6875,159.358"
"2404",-76.7067,159.4144,"-76.7067,159.4144"
"2405",-76.6881,159.3603,"-76.6881,159.3603"
"2406",-76.69,159.3428,"-76.69,159.3428"
"2407",-76.6939,159.3936,"-76.6939,159.3936"
"2408",-76.6922,159.295,"-76.6922,159.295"
"2409",-76.6936,159.3433,"-76.6936,159.3433"
"2410",-76.6939,159.3919,"-76.6939,159.3919"
"2411",-76.7094,159.3858,"-76.7094,159.3858"
"2412",-76.6947,159.3894,"-76.6947,159.3894"
"2413",-76.6872,159.357,"-76.6872,159.357"
"2414",-76.6947,159.3897,"-76.6947,159.3897"
"2415",-76.6886,159.38,"-76.6886,159.38"
"2416",-76.6892,159.3464,"-76.6892,159.3464"
"2417",-76.7095,159.3689,"-76.7095,159.3689"
"2418",-76.6844,159.3581,"-76.6844,159.3581"
"2419",-76.6582,159.3214,"-76.6582,159.3214"
"2420",-76.6797,159.3369,"-76.6797,159.3369"
"2421",-76.6861,159.3506,"-76.6861,159.3506"
"2422",-76.6917,159.292,"-76.6917,159.292"
"2423",-76.7092,159.3878,"-76.7092,159.3878"
"2424",-76.6947,159.3903,"-76.6947,159.3903"
"2425",-76.7053,159.3608,"-76.7053,159.3608"
"2426",-76.6886,159.3833,"-76.6886,159.3833"
"2427",-76.6911,159.3861,"-76.6911,159.3861"
"2428",-76.6964,159.3839,"-76.6964,159.3839"
"2429",-76.6858,159.3389,"-76.6858,159.3389"
"2430",-76.6889,159.3797,"-76.6889,159.3797"
"2431",-76.6825,159.3475,"-76.6825,159.3475"
"2432",-76.6919,159.3911,"-76.6919,159.3911"
"2433",-76.6914,159.3858,"-76.6914,159.3858"
"2434",-76.6881,159.38,"-76.6881,159.38"
